title,duration,duration_numeric
Cross: Rise of the Villains,100 min,100.0
God Calling,120 min,120.0
Irul,91 min,91.0
Just Say Yes,98 min,98.0
Madame Claude,113 min,113.0
Wild Child,98 min,98.0
Woody Woodpecker,91 min,91.0
2012,158 min,158.0
3 Idiots,164 min,164.0
Ferrari Ki Sawaari,133 min,133.0
Ibrahim a Fate to Define,75 min,75.0
Insidious,103 min,103.0
Into the Grizzly Maze,90 min,90.0
Kingsglaive: Final Fantasy XV,116 min,116.0
Legally Blonde,96 min,96.0
Madam Chief Minister,121 min,121.0
Maximum Risk,101 min,101.0
My Fair Lady,173 min,173.0
S.W.A.T.: Under Siege,89 min,89.0
Seven Souls in the Skull Castle: Season Bird,182 min,182.0
Seven Souls in the Skull Castle: Season Flower,181 min,181.0
Seven Souls in the Skull Castle: Season Wind,185 min,185.0
Sniper: Ghost Shooter,99 min,99.0
Starship Troopers: Traitor of Mars,88 min,88.0
Takers,107 min,107.0
Tersanjung the Movie,114 min,114.0
The Knight and the Princess,96 min,96.0
The Pianist,149 min,149.0
The Stepfather,102 min,102.0
Universal Soldier: The Return,83 min,83.0
